Datetime,Watts
21-05-2022 - 23:28:49.464,19
21-05-2022 - 23:28:49.714,19
21-05-2022 - 23:28:49.968,20
21-05-2022 - 23:28:50.218,21
21-05-2022 - 23:28:50.468,20
21-05-2022 - 23:28:50.718,19
21-05-2022 - 23:28:50.967,19
21-05-2022 - 23:28:51.217,19
21-05-2022 - 23:28:51.467,19
21-05-2022 - 23:28:51.717,18
21-05-2022 - 23:28:51.967,19
21-05-2022 - 23:28:52.220,20
21-05-2022 - 23:28:52.466,19
21-05-2022 - 23:28:52.720,19
21-05-2022 - 23:28:52.970,18
21-05-2022 - 23:28:53.220,19
21-05-2022 - 23:28:53.470,19
21-05-2022 - 23:28:53.719,20
21-05-2022 - 23:28:53.970,21
21-05-2022 - 23:28:54.219,20
21-05-2022 - 23:28:54.469,20
21-05-2022 - 23:28:54.719,20
21-05-2022 - 23:28:54.973,19
21-05-2022 - 23:28:55.223,20
21-05-2022 - 23:28:55.473,20
21-05-2022 - 23:28:55.723,20
21-05-2022 - 23:28:55.973,20
21-05-2022 - 23:28:56.222,20
21-05-2022 - 23:28:56.472,20
21-05-2022 - 23:28:56.721,20
21-05-2022 - 23:28:56.972,20
21-05-2022 - 23:28:57.226,19
21-05-2022 - 23:28:57.475,19
21-05-2022 - 23:28:57.725,20
21-05-2022 - 23:28:57.975,19
21-05-2022 - 23:28:58.225,19
21-05-2022 - 23:28:58.475,20
21-05-2022 - 23:28:58.724,19
21-05-2022 - 23:28:58.975,19
21-05-2022 - 23:28:59.224,19
21-05-2022 - 23:28:59.473,20
21-05-2022 - 23:28:59.728,20
21-05-2022 - 23:28:59.978,20
21-05-2022 - 23:29:00.227,20
21-05-2022 - 23:29:00.478,19
21-05-2022 - 23:29:00.728,19
21-05-2022 - 23:29:00.977,19
21-05-2022 - 23:29:01.227,19
21-05-2022 - 23:29:01.477,20
21-05-2022 - 23:29:01.731,20
21-05-2022 - 23:29:01.981,19
21-05-2022 - 23:29:02.231,19
21-05-2022 - 23:29:02.480,19
21-05-2022 - 23:29:02.729,18
21-05-2022 - 23:29:02.981,19
21-05-2022 - 23:29:03.230,21
21-05-2022 - 23:29:03.480,21
21-05-2022 - 23:29:03.730,19
21-05-2022 - 23:29:03.980,19
21-05-2022 - 23:29:04.233,19
21-05-2022 - 23:29:04.483,20
21-05-2022 - 23:29:04.733,20
21-05-2022 - 23:29:04.983,20
21-05-2022 - 23:29:05.232,19
21-05-2022 - 23:29:05.482,19
21-05-2022 - 23:29:05.732,19
21-05-2022 - 23:29:05.983,18
21-05-2022 - 23:29:06.231,19
21-05-2022 - 23:29:06.482,19
